listing_name,city,country,price_raw,property_type,guests,bedrooms,beds,baths,host_name,is_superhost,is_guest_favorite,rating,reviews,scrape_date,url
Nice apartment in Amsterdam West close to center,Amsterdam,Netherlands,,Entire condo,2.0,2.0,1.0,1.5,Julia,1,0,4.86,7,2026-07-07,https://www.airbnb.com/rooms/684721665751257004?search_mode=regular_search&adults=1&check_in=2026-07-17&check_out=2026-07-22&children=0&infants=0&pets=0&source_impression_id=p3_1783432368_P3xz7hA18WhTOT3l&previous_page_section_name=1000&federated_search_id=085feb23-906a-4562-bfd9-3e717f3161d4
Couples Getaway near Rijksmuseum with Canal View,Amsterdam,Netherlands,€ 150,Entire guest suite,4.0,2.0,2.0,2.0,DonnaSuperhost,1,1,4.79,79307,2026-07-07,https://www.airbnb.com/rooms/39361288?search_mode=regular_search&adults=1&check_in=2026-08-16&check_out=2026-08-21&children=0&infants=0&pets=0&source_impression_id=p3_1783432368_P3pvs-S2WOxH5UBL&previous_page_section_name=1000&federated_search_id=085feb23-906a-4562-bfd9-3e717f3161d4
Beautiful stylish detached villa,Amsterdam,Netherlands,€ 50,Entire villa,6.0,4.0,5.0,1.5,LeontienSuperhost,1,1,4.85,85226,2026-07-07,https://www.airbnb.com/rooms/910640785896019190?search_mode=regular_search&adults=1&check_in=2026-10-11&check_out=2026-10-16&children=0&infants=0&pets=0&source_impression_id=p3_1783432368_P3JLrofaEJfPbAs_&previous_page_section_name=1000&federated_search_id=085feb23-906a-4562-bfd9-3e717f3161d4
Prinsengracht Canal House,Amsterdam,Netherlands,,Entire home,5.0,3.0,3.0,2.5,MargreetSuperhost,1,0,,,2026-07-07,https://www.airbnb.com/rooms/1723762803243245428?search_mode=regular_search&adults=1&check_in=2026-08-25&check_out=2026-08-30&children=0&infants=0&pets=0&source_impression_id=p3_1783432368_P3ce3KTp9wWHdAbY&previous_page_section_name=1000&federated_search_id=085feb23-906a-4562-bfd9-3e717f3161d4
"Numa | XL 2 Bedroom Apartment w/ Balcony, Sofa Bed",Amsterdam,Netherlands,,Entire serviced apartment,6.0,2.0,3.0,2.0,YAYS Amsterdam North By Numa,1,0,4.44,16,2026-07-07,https://www.airbnb.com/rooms/1127513525512170677?search_mode=regular_search&adults=1&check_in=2026-11-01&check_out=2026-11-06&children=0&infants=0&pets=0&source_impression_id=p3_1783432368_P33hC3i4wpSwHbjA&previous_page_section_name=1000&federated_search_id=085feb23-906a-4562-bfd9-3e717f3161d4
Lovely apartment of 76m2.,Amsterdam,Netherlands,,Entire rental unit,3.0,2.0,1.0,1.0,AaljeSuperhost,1,1,4.92,92119,2026-07-07,https://www.airbnb.com/rooms/18950531?search_mode=regular_search&adults=1&check_in=2026-07-10&check_out=2026-07-15&children=0&infants=0&pets=0&source_impression_id=p3_1783432368_P3JzI8D2jOf7UTXE&previous_page_section_name=1000&federated_search_id=085feb23-906a-4562-bfd9-3e717f3161d4
Fabulous guesthouse 15 min from Amsterdam.,Amsterdam,Netherlands,,Entire home,4.0,2.0,3.0,1.0,TirsaSuperhost,1,1,4.95,95350,2026-07-07,https://www.airbnb.com/rooms/39333210?search_mode=regular_search&adults=1&check_in=2026-09-03&check_out=2026-09-08&children=0&infants=0&pets=0&source_impression_id=p3_1783432368_P316dLrmloYCtn8k&previous_page_section_name=1000&federated_search_id=085feb23-906a-4562-bfd9-3e717f3161d4
2-Bedroom Apartment | The July - Boat & Co,Amsterdam,Netherlands,€75,Entire serviced apartment,6.0,2.0,4.0,2.0,The July,1,1,4.95,9537,2026-07-07,https://www.airbnb.com/rooms/38170899?search_mode=regular_search&adults=1&check_in=2026-07-19&check_out=2026-07-24&children=0&infants=0&pets=0&source_impression_id=p3_1783432368_P3LMZPk1M1Q0rHlf&previous_page_section_name=1000&federated_search_id=085feb23-906a-4562-bfd9-3e717f3161d4
4 pers heart of ams,Amsterdam,Netherlands,,Entire rental unit,4.0,2.0,1.0,1.0,Ramon,1,0,,,2026-07-07,https://www.airbnb.com/rooms/1522502256117366792?search_mode=regular_search&adults=1&check_in=2026-07-11&check_out=2026-07-16&children=0&infants=0&pets=0&source_impression_id=p3_1783432368_P3Mg-tov1Eb1pfjT&previous_page_section_name=1000&federated_search_id=085feb23-906a-4562-bfd9-3e717f3161d4
HOUSEBOAT NOVA 80m2 + FREE BIKES,Amsterdam,Netherlands,,Entire rental unit,4.0,2.0,2.0,1.5,Nova Team,1,0,4.74,221,2026-07-07,https://www.airbnb.com/rooms/851044?search_mode=regular_search&adults=1&check_in=2026-12-13&check_out=2026-12-18&children=0&infants=0&pets=0&source_impression_id=p3_1783432368_P3Du6YAjJUAkAFEf&previous_page_section_name=1000&federated_search_id=085feb23-906a-4562-bfd9-3e717f3161d4
